Unnamed: 0,repo,filename,Commit,Comment,link,MLTD
0,Erotemic/netharn,netharn/api.py,ef932c663f51f5cb804a56ea4c63ff70c7d6bc31,"TODO: allow for \""discriminative fine-tuning\""",https://github.com/Erotemic/netharn/commit/ef932c663f51f5cb804a56ea4c63ff70c7d6bc31,No
1,Erotemic/netharn,netharn/fit_harn.py,ef932c663f51f5cb804a56ea4c63ff70c7d6bc31,"TODO: allow for \""discriminative fine-tuning\""",https://github.com/Erotemic/netharn/commit/ef932c663f51f5cb804a56ea4c63ff70c7d6bc31,No
2,roberthangu/snn_object_recognition,classify-images-one-shot.py,f77a229eda9deca2562e9098098a1794c5f204c0,# TODO: uncomment these lines after the completion of the STDP tuning,https://github.com/roberthangu/snn_object_recognition/commit/f77a229eda9deca2562e9098098a1794c5f204c0,Yes
3,jason718/game-feature-learning,eval-3rd-party/voc_cls/phikr_caffe/python/detect.py,c1844d400fe3d191c3e012f8c6eb83dfc46ff7e9,"\""\""\"" || detector.py is an out-of-the-box windowed detector || callable from the command line. ||  || By default it configures and runs the Caffe reference ImageNet model. || Note that this model was trained for image classification and not detection; || and finetuning for detection can be expected to improve results. ||  || The selective_search_ijcv_with_python code required for the selective search || proposal mode is available at ||     https:\/\/github.com\/sergeyk\/selective_search_ijcv_with_python ||  || TODO: || - batch up image filenames as well: don't want to load all of them into memory || - come up with a batching scheme that preserved order \/ keeps a unique ID || \""\""\""",https://github.com/jason718/game-feature-learning/commit/c1844d400fe3d191c3e012f8c6eb83dfc46ff7e9,Yes
4,simonfqy/PADME,dcCustom/models/tensor_graph.py,4f3610b7ee05d2bd755fa73ffdd2afdb154f1421,TODO: the following two variables are temporary; for hyperparameter tuning purpose.,https://github.com/simonfqy/PADME/commit/4f3610b7ee05d2bd755fa73ffdd2afdb154f1421,No
5,simonfqy/PADME,dcCustom/models/tensorgraph/tensor_graph.py,2cb677a6ee205673b6e17454b979c3a2cce991a5,TODO: the following two variables are temporary; for hyperparameter tuning purpose.,https://github.com/simonfqy/PADME/commit/2cb677a6ee205673b6e17454b979c3a2cce991a5,No
6,simonfqy/PADME,dcCustom/models/tensorgraph/tensor_graph.py,90a881f4afc0e536b8fc242c9f6646c6cce09b0a,TODO: the following two variables are temporary; for hyperparameter tuning purpose.,https://github.com/simonfqy/PADME/commit/90a881f4afc0e536b8fc242c9f6646c6cce09b0a,No
7,davidhaohanli/Abnormal-Behaviour-Detection,code/split.py,2bcfb1b25d15a402761f41ef866388ded80c50cd,TODO Default tuning,https://github.com/davidhaohanli/Abnormal-Behaviour-Detection/commit/2bcfb1b25d15a402761f41ef866388ded80c50cd,No
8,davidhaohanli/Abnormal-Behaviour-Detection,code/split.py,6a9fd7464ec95dbb8812a557e3f17cb384f5bd01,TODO Default tuning,https://github.com/davidhaohanli/Abnormal-Behaviour-Detection/commit/6a9fd7464ec95dbb8812a557e3f17cb384f5bd01,No
9,HewlettPackard/dlcookbook-dlbs,python/pytorch_benchmarks/benchmarks.py,8f953918efc41de684507734351b7b226066cbb6,TODO: Is it good to enable cuDNN autotuning (batch size is fixed)?,https://github.com/HewlettPackard/dlcookbook-dlbs/commit/8f953918efc41de684507734351b7b226066cbb6,No
