index,Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label
0,get min max for all columns by class,No,Yes,y
1,columns. --> features,No,Yes,n
2,I think we could improve this part of the code,Yes,Yes,y
3,removing the most efficient feature,Yes,Yes,y
4,TODO: the MFE (R version) implements the non-overlapping region,Yes,Yes,y
5,TODO: The MFE (R version) returns an boolean array marking all,Yes,No,y
7,TODO: Currently; categorical variables are ignored. Should we adjust,Yes,Yes,y
10,TODO: the MFE (R version) implements the non-overlapping region,Yes,Yes,y
11,TODO: The MFE (R version) returns an boolean array marking all,Yes,No,y
13,TODO: Currently; categorical variables are ignored. Should we adjust,Yes,Yes,y
15,Because we needed to calculate 'absolute_bar' here; does,No,Yes,y
16,Because we needed to calculate 'absolute_bar' here; does,No,Yes,y
17,Removing the most efficient feature,Yes,Yes,y
18,TODO.,Yes,Yes,n
19,TODO: check validity.,Yes,No,y
20,TODO: absorb inner spheres,Yes,Yes,y
21,# How it seems to be implemented in R mfe:,No,No,y
22,removing the most efficient feature,No,Yes,y
23,times; and may be very expensive depending mainly on your data and the,No,Yes,n
24,Define session context (not needed when trainning the model so the defaults should be fine),No,Yes,n
25,TODO: pre-allocate numpy array,Yes,No,y
26,Needed to make sure the logging output is visible.,No,Yes,y
28,''' || Todo || - Improve this || ''',Yes,No,y
30,''' || Todo || - Better typing for nn._WeightedLoss || ''',Yes,Yes,y
31,''' || Todo: || - Multithread ams calc || - Imporve plot colours || ''',Yes,No,y
32,''' || Todo: || - Add non inplace versions\/options || - Imporve delta_phi || ''',Yes,No,y
33,XXX remove in v0.3,Yes,Yes,y
34,TODO Option for string lenght,Yes,Yes,y
35,TODO infer target type automatically,Yes,Yes,y
36,XXX Remove in v0.3,Yes,Yes,y
37,Better way to do this without df?,Yes,Yes,y
38,TODO extend to work on pT; eta; phi vectors,Yes,Yes,y
39,TODO: rewrite to not use a DataFrame for holding parent vector,Yes,Yes,y
40,TODO: add inplace option,Yes,Yes,y
41,TODO: extend to work on pT; eta; phi coordinates,Yes,Yes,y
42,TODO: check how this handles non-numerical categories,Yes,Yes,y
43,TODO: allow option for stepping through each event; rather than fixed resolution scan,Yes,No,y
46,TODO: Standardise pipeline treatment: currently inputs not processed; but outputs are,Yes,Yes,y
47,Return inverse of significance (would negative work better?),Yes,Yes,y
