,index,Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label
0,0,get min max for all columns by class,No,Yes,y
1,1,columns. --> features,No,Yes,n
2,2,I think we could improve this part of the code,Yes,Yes,y
3,3,removing the most efficient feature,Yes,Yes,y
4,4,TODO: the MFE (R version) implements the non-overlapping region,Yes,Yes,y
5,5,TODO: The MFE (R version) returns an boolean array marking all,Yes,No,y
6,7,TODO: Currently; categorical variables are ignored. Should we adjust,Yes,Yes,y
7,10,TODO: the MFE (R version) implements the non-overlapping region,Yes,Yes,y
8,11,TODO: The MFE (R version) returns an boolean array marking all,Yes,No,y
9,13,TODO: Currently; categorical variables are ignored. Should we adjust,Yes,Yes,y
10,15,Because we needed to calculate 'absolute_bar' here; does,No,Yes,y
11,16,Because we needed to calculate 'absolute_bar' here; does,No,Yes,y
12,17,Removing the most efficient feature,Yes,Yes,y
13,18,TODO.,Yes,Yes,n
14,19,TODO: check validity.,Yes,No,y
15,20,TODO: absorb inner spheres,Yes,Yes,y
16,21,# How it seems to be implemented in R mfe:,No,No,n
17,22,removing the most efficient feature,No,Yes,y
18,23,times; and may be very expensive depending mainly on your data and the,No,Yes,n
19,24,Define session context (not needed when trainning the model so the defaults should be fine),No,Yes,n
20,25,TODO: pre-allocate numpy array,Yes,No,y
21,26,Needed to make sure the logging output is visible.,No,Yes,y
22,28,''' || Todo || - Improve this || ''',Yes,No,y
23,30,''' || Todo || - Better typing for nn._WeightedLoss || ''',Yes,Yes,y
24,31,''' || Todo: || - Multithread ams calc || - Imporve plot colours || ''',Yes,No,y
25,32,''' || Todo: || - Add non inplace versions\/options || - Imporve delta_phi || ''',Yes,No,y
26,33,XXX remove in v0.3,Yes,Yes,y
27,34,TODO Option for string lenght,Yes,Yes,y
28,35,TODO infer target type automatically,Yes,Yes,y
29,36,XXX Remove in v0.3,Yes,Yes,y
30,37,Better way to do this without df?,Yes,Yes,y
31,38,TODO extend to work on pT; eta; phi vectors,Yes,Yes,y
32,39,TODO: rewrite to not use a DataFrame for holding parent vector,Yes,Yes,y
33,40,TODO: add inplace option,Yes,Yes,y
34,41,TODO: extend to work on pT; eta; phi coordinates,Yes,Yes,y
35,42,TODO: check how this handles non-numerical categories,Yes,Yes,y
36,43,TODO: allow option for stepping through each event; rather than fixed resolution scan,Yes,No,y
37,46,TODO: Standardise pipeline treatment: currently inputs not processed; but outputs are,Yes,Yes,y
38,47,Return inverse of significance (would negative work better?),Yes,Yes,y
39,48,TODO: make the zero and one preds more user-friendly,Yes,Yes,y
40,49,TODO: Check how this handels multi-target regression; may need to adjust averaging axis & DescrStatsW may not handle multi-dimensional data well.,Yes,No,y
41,50,TODO: Remove use_weights and rely on whether wgt_name is None,Yes,No,y
42,52,TODO: Make opt use partials rather than strings,Yes,Yes,y
43,53,TODO: Classmethod from_fy,Yes,No,n
44,54,TODO: Improve mask description & user-friendlyness; change to indicate that 'masked' inputs are actually the ones which are used,Yes,Yes,y
45,55,TODO: Chek if mask_inputs can be removed,Yes,Yes,y
46,56,XXX Remove in v0.3,Yes,Yes,y
47,57,TODO: check typing; why list?,Yes,No,y
48,58,TODO: make this work with a single event,Yes,Yes,y
49,59,TODO: add plot settings & saving,Yes,No,y
50,60,XXX Remove in v0.3,Yes,Yes,y
51,61,TODO: Check examples,Yes,No,y
52,62,TODO: Automate y_range calculation with adjustable leeway,Yes,Yes,y
53,63,XXX Remove in v0.3,Yes,Yes,y
54,64,XXX Remove in v0.3,Yes,Yes,y
55,65,TODO: make plot show uncertainty bands,Yes,Yes,y
56,66,TODO: make device choosable by user,Yes,Yes,y
57,67,XXX Remove in v0.4,Yes,Yes,y
58,68,TODO add mask,Yes,Yes,y
59,69,TODO: fix returns paret of doc string,Yes,Yes,y
60,70,TODO: Decide on whether to keep this; could just pass to plot_lr_finders,Yes,Yes,y
61,71,TODO: update map location when device choice is changable by user,Yes,Yes,y
62,72,TODO: update to sns 9,Yes,No,y
63,73,TODO extend to work over matrix data,Yes,No,y
64,75,TODO Make abtsract wrt data format,Yes,Yes,y
65,76,TODO: Pass FoldYielder to get example dummy input; or account for matrix inputs,Yes,No,y
66,77,TODO: Factor out cat_embedder to head,Yes,Yes,y
67,78,TODO: Add matrix example,Yes,No,y
68,79,TODO: Add partial block example,Yes,Yes,y
69,80,TODO: check whether it's overwrite or overload for the technical term,Yes,No,y
70,81,device = torch.device('cpu')  # TODO: make device choosable by user,Yes,Yes,y
71,82,TODO: Non-notebook version?,Yes,Yes,y
72,83,TODO Improve this with preconfigured mask,Yes,Yes,y
73,84,TODO: Fix this to work for incomplete batch,Yes,Yes,y
74,85,XXX remove in V0.8,Yes,Yes,y
75,86,XXX remove in V0.8,Yes,Yes,y
76,87,XXX remove in V0.8,Yes,Yes,y
77,88,XXX remove in V0.8,Yes,Yes,y
78,89,XXX remove in V0.8,Yes,Yes,y
79,90,XXX remove in V0.8,Yes,Yes,y
80,91,XXX remove in V0.8,Yes,Yes,y
81,92,TODO: Decide on whether to keep this; could just pass to plot_lr_finders,Yes,Yes,y
82,93,TODO: fix returns part of doc string,Yes,Yes,y
83,94,XXX remove in V0.8,Yes,Yes,y
84,95,XXX remove in V0.8,Yes,Yes,y
85,96,TODO: Fix this to work for incomplete batch,Yes,Yes,y
86,97,XXX remove in V0.8,Yes,Yes,y
87,98,XXX remove in V0.8,Yes,Yes,y
88,99,XXX remove in V0.8,Yes,Yes,y
89,100,TODO: Fix this to work for incomplete batch,Yes,Yes,y
90,101,XXX remove in V0.8,Yes,Yes,y
91,102,TODO: make this faster,Yes,No,y
92,103,XXX remove in V0.8,Yes,Yes,y
93,104,XXX remove in V0.8,Yes,Yes,y
94,105,XXX remove in V0.8,Yes,Yes,y
95,106,TODO: make the zero and one preds more user-friendly,Yes,Yes,y
96,107,TODO: Check how this handels multi-target regression; may need to adjust averaging axis & DescrStatsW may not handle multi-dimensional data well.,Yes,No,y
97,108,TODO: make this work with non-meaned losses,Yes,Yes,y
98,109,XXX remove in V0.8,Yes,Yes,y
99,110,Move to maxima,No,Yes,y
100,111,Keywords that define your package best,No,Yes,n
101,112,"Chose either \""3 - Alpha\""; \""4 - Beta\"" or \""5 - Production\/Stable\"" as the current state of your package",No,Yes,y
102,114,alternative TODO,Yes,Yes,y
103,115,"What we really want to return is \""Steve Smith\"".",No,No,y
104,116,"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y
105,117,Add additional embeddings for special tokens if needed,No,No,y
106,118,"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y
107,119,Setup distant debugging if needed,No,No,y
108,120,Create output directory if needed,No,Yes,y
109,121,Create output directory if needed,No,Yes,y
110,122,The convention in BERT is:,No,No,n
111,123,"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y
112,124,Add additional embeddings for special tokens if needed,No,No,y
