index,Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label
2,I think we could improve this part of the code,Yes,Yes,Yes
3,removing the most efficient feature,Yes,Yes,Yes
4,TODO: the MFE (R version) implements the non-overlapping region,Yes,Yes,Yes
7,TODO: Currently; categorical variables are ignored. Should we adjust,Yes,Yes,Yes
10,TODO: the MFE (R version) implements the non-overlapping region,Yes,Yes,Yes
13,TODO: Currently; categorical variables are ignored. Should we adjust,Yes,Yes,Yes
17,Removing the most efficient feature,Yes,Yes,Yes
18,TODO.,Yes,Yes,No
20,TODO: absorb inner spheres,Yes,Yes,Yes
30,''' || Todo || - Better typing for nn._WeightedLoss || ''',Yes,Yes,Yes
33,XXX remove in v0.3,Yes,Yes,Yes
34,TODO Option for string lenght,Yes,Yes,No
35,TODO infer target type automatically,Yes,Yes,Yes
36,XXX Remove in v0.3,Yes,Yes,Yes
37,Better way to do this without df?,Yes,Yes,Yes
38,TODO extend to work on pT; eta; phi vectors,Yes,Yes,Yes
39,TODO: rewrite to not use a DataFrame for holding parent vector,Yes,Yes,Yes
40,TODO: add inplace option,Yes,Yes,Yes
41,TODO: extend to work on pT; eta; phi coordinates,Yes,Yes,Yes
42,TODO: check how this handles non-numerical categories,Yes,Yes,Yes
46,TODO: Standardise pipeline treatment: currently inputs not processed; but outputs are,Yes,Yes,Yes
47,Return inverse of significance (would negative work better?),Yes,Yes,Yes
48,TODO: make the zero and one preds more user-friendly,Yes,Yes,Yes
52,TODO: Make opt use partials rather than strings,Yes,Yes,Yes
54,TODO: Improve mask description & user-friendlyness; change to indicate that 'masked' inputs are actually the ones which are used,Yes,Yes,Yes
55,TODO: Chek if mask_inputs can be removed,Yes,Yes,Yes
56,XXX Remove in v0.3,Yes,Yes,Yes
58,TODO: make this work with a single event,Yes,Yes,Yes
60,XXX Remove in v0.3,Yes,Yes,Yes
62,TODO: Automate y_range calculation with adjustable leeway,Yes,Yes,Yes
63,XXX Remove in v0.3,Yes,Yes,Yes
64,XXX Remove in v0.3,Yes,Yes,Yes
65,TODO: make plot show uncertainty bands,Yes,Yes,Yes
66,TODO: make device choosable by user,Yes,Yes,Yes
67,XXX Remove in v0.4,Yes,Yes,Yes
68,TODO add mask,Yes,Yes,Yes
69,TODO: fix returns paret of doc string,Yes,Yes,Yes
70,TODO: Decide on whether to keep this; could just pass to plot_lr_finders,Yes,Yes,Yes
71,TODO: update map location when device choice is changable by user,Yes,Yes,Yes
75,TODO Make abtsract wrt data format,Yes,Yes,Yes
77,TODO: Factor out cat_embedder to head,Yes,Yes,Yes
79,TODO: Add partial block example,Yes,Yes,Yes
81,device = torch.device('cpu')  # TODO: make device choosable by user,Yes,Yes,Yes
82,TODO: Non-notebook version?,Yes,Yes,Yes
83,TODO Improve this with preconfigured mask,Yes,Yes,Yes
84,TODO: Fix this to work for incomplete batch,Yes,Yes,Yes
85,XXX remove in V0.8,Yes,Yes,Yes
86,XXX remove in V0.8,Yes,Yes,Yes
87,XXX remove in V0.8,Yes,Yes,Yes
88,XXX remove in V0.8,Yes,Yes,Yes
89,XXX remove in V0.8,Yes,Yes,Yes
90,XXX remove in V0.8,Yes,Yes,Yes
91,XXX remove in V0.8,Yes,Yes,Yes
92,TODO: Decide on whether to keep this; could just pass to plot_lr_finders,Yes,Yes,Yes
93,TODO: fix returns part of doc string,Yes,Yes,Yes
94,XXX remove in V0.8,Yes,Yes,Yes
95,XXX remove in V0.8,Yes,Yes,Yes
96,TODO: Fix this to work for incomplete batch,Yes,Yes,Yes
97,XXX remove in V0.8,Yes,Yes,Yes
98,XXX remove in V0.8,Yes,Yes,Yes
99,XXX remove in V0.8,Yes,Yes,Yes
100,TODO: Fix this to work for incomplete batch,Yes,Yes,Yes
101,XXX remove in V0.8,Yes,Yes,Yes
103,XXX remove in V0.8,Yes,Yes,Yes
104,XXX remove in V0.8,Yes,Yes,Yes
105,XXX remove in V0.8,Yes,Yes,Yes
106,TODO: make the zero and one preds more user-friendly,Yes,Yes,Yes
108,TODO: make this work with non-meaned losses,Yes,Yes,Yes
109,XXX remove in V0.8,Yes,Yes,Yes
114,alternative TODO,Yes,Yes,No
127,TODO implement caching,Yes,Yes,Yes
128,TODO,Yes,Yes,No
138,below is ugly; yes; but I need the dictionary in the order above and intact,Yes,Yes,Yes
151,Currently this is really gross with a lot of hard-coded constants.,Yes,Yes,Yes
158,features array. Need to this because multiple columns might belong to,Yes,Yes,Yes
161,for todo in extract_config['todo_list']:,Yes,Yes,Yes
164,better than overhead of having some error-checking function \/ making these classes?,Yes,Yes,Yes
165,This should really only happen when a hash is wrong,Yes,Yes,Yes
166,gross hack,Yes,Yes,Yes
173,If true; `todo` and `todoList` produce output; else they produce nothing.,Yes,Yes,Yes
175,FIXME this should use store.collection,Yes,Yes,Yes
176,FIXME this looks somewhat unstable. currently we schedule by,Yes,Yes,Yes
177,FIXME return only at end of method.,Yes,Yes,Yes
182,FIXME inefficient. make MDataFrame a drop-in replacement for any numpy ndarray,Yes,Yes,Yes
191,we don't have columns in metadata; get the data first,Yes,Yes,Yes
200,We decided to implement each method call explicitely in both,Yes,Yes,Yes
204,needed to get it to actually load the tasks (???),Yes,Yes,Yes
206,connect forgets all connection settings upon disconnect WTF?!,Yes,Yes,Yes
207,TODO kept _make_metadata for backwards compatibility.,Yes,Yes,Yes
208,FIXME this may be a performance issue; use size stored on stats or metadata,Yes,Yes,Yes
210,TODO ensure the same processing is applied in MDataFrame,Yes,Yes,Yes
211,TODO this method should always use a MDataFrame disregarding lazy,Yes,Yes,Yes
219,FIXME this is actually wrong; see df.quantile([.1; .2]),Yes,Yes,Yes
223,hack to localize metadata,Yes,Yes,Yes
229,FIXME this will fail in tf 2.0; see https:\/\/github.com\/tensorflow\/tensorflow\/issues\/24412#issuecomment-491980177,Yes,Yes,Yes
230,FIXME this is not working yet,Yes,Yes,Yes
231,TODO add obj signing so that only trustworthy sources can put functions,Yes,Yes,Yes
232,fix because local Metadata object cannot be pickled,Yes,Yes,Yes
238,FIXME sometimes it takes long for the nb to appear. why?,Yes,Yes,Yes
239,FIXME sometimes it takes long for the nb to appear why?,Yes,Yes,Yes
240,-- why can't we pass the Dataset directly? All objects must be executed on the same,Yes,Yes,Yes
241,TODO do some more intelligent caching; i.e. by client\/auth,Yes,Yes,Yes
242,TODO move all of the specifics to backend implementations,Yes,Yes,Yes
