index,Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label
1306,TODO: Move the below code into torch tensor. ( To make use of GPU ),Yes,No,Yes
1496,Move to GPU; if available,No,Yes,Yes
1962,FIXME: dplpstr2dplptree output is no longer a tree,Yes,Yes,Yes
2633,TODO:,Yes,No,No
2845,XXX: We keep only the first half of the rule list and classifications; since sum_rows returns the counts,No,Yes,No
3086,Fix generator :)),No,No,Yes
3529,TODO: adapt the embedded batch size,Yes,No,Yes
3915,i_dert and unused d_dert,No,No,No
4072,"add \""_rev\"" as a hack to avoid image standardization",Yes,Yes,Yes
4304,TODO: How should these be initialized?,Yes,No,Yes
4711,TODO: check flow_back_wrap,Yes,No,Yes
4915,"\""\""\"" ||    Download and etract file if needed ||    dirpath: filename ||    url_name:  network location to download ||    is_xxx : type of file (could check by extenstion of file) || \""\""\""",No,Yes,Yes
5005,Needed for colours,No,No,Yes
5006,TODO:,Yes,No,No
5007,TODO: Change to be nano-style across the full bottom,Yes,Yes,Yes
5009,TODO: Only calculate color if it is going to be displayed,Yes,No,Yes
5010,TODO: Set to linking line rather than cursor where,Yes,Yes,Yes
5011,TODO: Work out how to handle the AnnType.text case,Yes,No,Yes
5012,TODO: Hacky; these numbers were worked out by hand.,Yes,Yes,Yes
5013,TODO: Only implemented correctly for the line matching case at the,Yes,Yes,Yes
5017,Normally; have a single position; left =; right; etc move it.,Yes,Yes,Yes
5021,TODO: long-jump as well as jump; have jump do a smaller scale,Yes,Yes,Yes
5022,TODO: Think about maintaining whitespace variations,Yes,Yes,Yes
5024,TODO: allow for <filename>:data,Yes,No,Yes
5027,TODO: next search term or disagreement,Yes,Yes,Yes
5029,TODO: support non-token cases,Yes,No,Yes
5030,Needed for blank line skipping,No,Yes,Yes
5031,Move in bounds,No,Yes,Yes
5032,TODO: read other annotations,Yes,No,Yes
5035,TODO: Need to make sure the entire line fits,Yes,Yes,Yes
5036,TODO: Make combination cursor and link,Yes,Yes,Yes
5038,TODO: Switch cursor to just be an underline,Yes,Yes,Yes
5040,TODO: Save both cursor and linking pos,Yes,No,Yes
5041,TODO: switch link to be like the old style,Yes,Yes,Yes
5042,TODO - simplified value here,Yes,No,Yes
5044,TODO: In this case move the linking pos along one step,Yes,No,Yes
5045,TODO: if self links are prevented; but forward links are allowed;,Yes,Yes,Yes
5048,TODO: Have an 'are you sure?' step,Yes,No,Yes
5049,TODO - simplified value here,Yes,No,Yes
5051,TODO: Genralize for missing any attribute,Yes,Yes,Yes
5052,# TODO: data loader,Yes,No,Yes
5053,TODO:,Yes,No,No
5057,''' || TODO: keep original || net.stage4[0].xception_block[5].dwconv.stride = (1; 1) || net.stage4[1].xception_block[4].dwconv.padding = (2; 2) || net.stage4[1].xception_block[4].dwconv.dilation = (2; 2) || ''',Yes,Yes,Yes
5058,TODO: support more backbone,Yes,No,Yes
5061,Select values from columns for IForest:,No,Yes,No
5064,first  perceptron implement,No,No,No
5066,TODO: Check transpose flag when implementing fully connected layers.,Yes,Yes,Yes
5067,TODO: This assumes channel last dim_ordering.,Yes,Yes,Yes
5069,TODO: Add check for Theano dim ordering.,Yes,Yes,Yes
5070,TODO run NONETYPE,Yes,Yes,Yes
5072,Needed to make sure the logging output is visible.,No,Yes,Yes
5073,save the better model based on the f1 score,No,Yes,Yes
5074,TODO: uncomment packages (but travis will fail),Yes,No,Yes
5077,columns of data file to convert from time format to float,No,Yes,No
5078,columns with malformed floats values,Yes,Yes,No
5079,get columns names and raw data,No,Yes,No
5082,get columns names and raw data,No,Yes,No
5084,"todo may not be needed self._wait_for(By.CLASS_NAME; \""activity-tracking-disclaimer\"")",Yes,Yes,Yes
5085,TODO: Allow Keras Lambda to use func arguments for output_shape?,Yes,No,Yes
5086,TODO: Remove or add option for static implementation.,Yes,Yes,Yes
5087,TODO: Repeat_elements and tf.split doesn't support dynamic splits.,Yes,Yes,Yes
5089,TODO: Remove extra computation shared with yolo_head.,Yes,Yes,Yes
5090,TODO: Adjust predictions by image width\/height for non-square images?,Yes,Yes,Yes
5097,workaround for https:\/\/github.com\/travis-ci\/travis-api\/issues\/196,Yes,Yes,Yes
5098,TODO: validate generated target,Yes,No,Yes
5100,"'''ShuffleNet in PyTorch. ||  || See the paper \""ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices\"" for more details. || '''",No,Yes,Yes
5102,TODO: make efficient,Yes,Yes,Yes
5108,Compute Fisher matrix if needed,No,No,Yes
5110,TODO minimal import,Yes,Yes,Yes
5112,TODO do this better,Yes,No,Yes
5114,TODO random seed as an option,Yes,Yes,Yes
5116,if self.args.lr_decay != 1:   #TODO add lr decay support,Yes,No,Yes
5117,TODO random seed as an option,Yes,Yes,Yes
5118,dirty fix for extra data,Yes,Yes,Yes
5120,TODO update docstring,Yes,No,Yes
5121,if self.args.lr_decay != 1:   #TODO add lr decay support,Yes,No,Yes
5122,dirty fix for extra data,Yes,Yes,Yes
5125,TODO make it cleaner,Yes,Yes,Yes
5126,TODO,Yes,Yes,No
5127,TODO there is apparently a bug when scheduler is used; to be fixed,Yes,Yes,Yes
5128,TODO when corrected bug in izitorch (conf mat does not include unobserved labels),Yes,Yes,Yes
5130,TODO optimise redundant blocks,Yes,No,Yes
5131,TODO correct elapsed time display,Yes,No,Yes
5133,TODO Find a less expensive way to do this,Yes,No,Yes
5140,TODO Remove per class metrics,Yes,Yes,Yes
5144,TODO can be simplified,Yes,No,Yes
5145,get columns,No,Yes,No
5146,in a better way,No,No,No
