index,Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label,spaCy_Predicted_MLTD_label_BAL,spaCy_Predicted_MLTD_label_AAL
18026,TODO: document,,,No,Yes,Yes
16716,as reverse recursion in this application but it is more efficient.,,,Yes,Yes,Yes
16680,no warning needed - but switch to -1 anyway; to avoid surprising,,Yes,Yes,Yes,Yes
34330,Move up\/down,,,Yes,Yes,Yes
40269,If using modern VTK\/Mayavi; improve rendering with FXAA,,Yes,Yes,Yes,Yes
101,This check is needed because np.stack will always duplicate array in memory.,,,No,Yes,Yes
2498,append the suffix if needed,,,Yes,Yes,Yes
3741,"\""\""\"" || Optuna example that optimizes a classifier configuration for IMDB movie review dataset. || This script is based on the example of allentune (https:\/\/github.com\/allenai\/allentune). ||  || In this example; we optimize the validation accuracy of sentiment classification using AllenNLP. || Since it is too time-consuming to use the entire dataset; we here use a small subset of it. ||  || We have the following two ways to execute this example: ||  || (1) Execute this code directly. ||     $ python allennlp_simple.py ||  ||  || (2) Execute through CLI. ||     $ STUDY_NAME=`optuna create-study --direction maximize --storage sqlite:\/\/\/example.db` ||     $ optuna study optimize allennlp_simple.py objective --n-trials=100 --study $STUDY_NAME \\ ||       --storage sqlite:\/\/\/example.db ||  || \""\""\""",,Yes,No,No,No
26044,''' || Created on Oct 27; 2010 || Logistic Regression Working Module || @author: Peter || ''',,Yes,No,Yes,Yes
14742,M_inv: Inverted normalized transformation matrix --> Needed for grid sample,,,No,Yes,Yes
29377,TODO(daniel) this is perhaps an older way of analyzing the data?,,Yes,No,Yes,Yes
8523,complement stain matrix if needed,,,Yes,Yes,Yes
11011,TODO: Figure out why.,,,Yes,Yes,Yes
10900,We generate English->X data by convention; to train reverse translation,,Yes,Yes,Yes,Yes
14969,TODO: Add documentation,,,Yes,Yes,Yes
18070,TODO: replace with (stable) Draft6Validator; if available,,No,Yes,Yes,Yes
14809,KLUDGE: I'm assuming that chunksize will always be larger than,,No,No,Yes,Yes
17449,move request to provided crop rois,,No,Yes,Yes,Yes
15067,"FLAG: Tally number of columns \""transformed\"" and \""added\"" at each step and report",,,Yes,Yes,Yes
23696,perhaps rescale to avoid clipping?,,Yes,Yes,Yes,Yes
38816,[(Exp*; XXX name)],,,No,Yes,Yes
17660,TODO AddToHueAndSaturation,,,Yes,Yes,Yes
16731,unused,,No,Yes,Yes,Yes
6834,save the policy if it's better than the previous ones,,,Yes,Yes,Yes
31182,TODO: normalize,,Yes,Yes,Yes,Yes
9312,TODO: would be better to make these namedtuples...,,Yes,Yes,Yes,Yes
13410,TODO: this should be taken out of here... but depends too much on DDP,,Yes,Yes,Yes,Yes
12064,TODO: Add back padding,,No,Yes,Yes,Yes
32872,TODO: optimize with chess.popcount,,Yes,Yes,Yes,Yes
14617,TODO TODO TODO TODO TODO,,,No,No,No
26230,X = pd.DataFrame(columns=X.columns; data=Xmatrix),,,No,Yes,Yes
13313,todo comment,,,Yes,Yes,Yes
37527,TODO: check that no-one accidentally overwrites the index?,,Yes,Yes,Yes,No
37616,Hence; the following hack,,,Yes,Yes,Yes
12391,TODO: RETHING LOOP AS IN THE ONE ABOVE,,Yes,Yes,Yes,Yes
31602,length HMM convention.,,,Yes,Yes,Yes
20211,TODO make this robust,,,Yes,Yes,Yes
10725,FIXME: is it possible to make order stable?,,,Yes,Yes,No
2191,subclasses are required to redefine as needed,,,Yes,Yes,Yes
